RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,PRED,CPRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD
1,TEST01MZ,1,0,1,2001,182,69,3.79999995,475.100067,13.9516907,15.0247717,29.6000004,59.2000008,0.966705680E-1,37.7000008,22.3999996,30.1552429,32.9823608,22.3999996,30.1552429,32.9823608,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,183,70,0.00000000,475.100067,13.9450312,15.0179958,17.1000004,34.2000008,0.477849960,30.5000000,19.5000000,25.0746250,27.1065960,19.5000000,25.0746250,27.1065960,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,184,71,121.099998,596.200073,13.9377222,15.0104828,8.30000019,16.6000004,0.746401429,30.6000004,21.2000008,25.9627972,27.6986408,21.2000008,25.9627972,27.6986408,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,185,72,0.00000000,596.200073,13.9297695,15.0022411,25.1000004,50.2000008,0.232573092,32.7000008,21.7999992,27.3215866,29.3337116,21.7999992,27.3215866,29.3337116,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,186,73,0.00000000,596.200073,13.9211788,14.9932747,26.6000004,53.2000008,0.186112463,33.7000008,19.6000004,26.7408886,29.3427258,19.6000004,26.7408886,29.3427258,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,187,74,8.69999981,604.900085,13.9119539,14.9835911,20.7000008,41.4000015,0.366133332,34.2999992,24.0000000,29.2150402,31.1148911,24.0000000,29.2150402,31.1148911,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,188,75,20.2000008,625.100098,13.9021025,14.9731979,12.1000004,24.2000008,0.629163146,34.0999985,24.8999996,29.5568142,31.2530079,24.8999996,29.5568142,31.2530079,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,189,76,3.90000010,629.000122,13.8916302,14.9621029,22.7999992,45.5999985,0.300596714,35.0999985,23.8999996,29.5674992,31.6314507,23.8999996,29.5674992,31.6314507,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,190,77,0.00000000,629.000122,13.8805437,14.9503136,23.5000000,47.0000000,0.278424621,34.4000015,23.2999992,28.9151516,30.9596367,23.2999992,28.9151516,30.9596367,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,191,78,0.00000000,629.000122,13.8688498,14.9378405,24.7000008,49.4000015,0.240797877,35.4000015,23.2999992,29.4190121,31.6464920,23.2999992,29.4190121,31.6464920,86.4000015,370.850006,0.00000000,0.00000000
